character,state,probability
r5,20,0.016895
r5,21,0.001056
r5,22,0.005280
r5,23,0.221753
r5,24,0.004224
r5,25,0.279831
r5,26,0.055966
r5,27,0.001056
r5,28,0.004224
r5,29,0.006336
r5,3,0.001056
r5,30,0.025343
r5,31,0.033791
r5,32,0.001056
r5,33,0.021119
r5,34,0.001056
r5,35,0.007392
r5,36,0.001056
r5,37,0.001056
r5,38,0.002112
r5,39,0.074974
r5,4,0.002112
r5,40,0.003168
r5,41,0.001056
r5,42,0.003168
r5,43,0.026399
r5,44,0.098205
r5,45,0.028511
r5,46,0.001056
r5,47,0.001056
r5,48,0.002112
r5,49,0.010560
r5,5,0.034847
r5,50,0.007392
r5,51,0.002112
r5,52,0.007392
r5,53,0.001056
r5,54,0.001056
r5,55,0.001056
r5,56,0.001056
r5,57,0.003168
r5,58,0.004224
r5,59,0.001056
r5,6,0.001056
r5,60,0.001056
r5,61,0.001056
r5,62,0.001056
r5,63,0.011616
r5,64,0.001056
r5,65,0.001056
r5,66,0.001056
r5,67,0.001056
r5,68,0.344245
r5,69,0.016895
r5,7,0.008448
r5,70,0.001056
r5,71,0.001056
r5,72,0.147835
r5,73,0.006336
r5,74,0.001056
r5,75,0.001056
r5,76,0.020063
r5,77,0.017951
r5,78,0.001056
r5,79,0.002112
r5,8,0.003168
r5,80,0.011616
r5,81,0.003168
r5,82,0.003168
r5,83,0.001056
r5,84,0.001056
r5,85,0.005280
r5,86,0.002112
r5,87,0.001056
r5,88,0.023231
r5,89,0.068638
r5,9,0.345301
r5,90,0.013728
r5,91,0.001056
r5,92,0.001056
r5,93,0.001056
r5,94,0.001056
r5,95,0.001056
r5,96,0.011616
r5,97,0.001056
r5,98,0.001056
r5,99,0.013728
r6,10,0.398099
r6,11,0.001056
r6,2,0.129884
r6,3,0.727561
r6,4,0.344245
r6,5,0.014784
r6,6,0.298838
r6,7,0.220697
r6,8,0.435058
r6,9,0.001056
r7,10,0.001056
r7,11,0.001056
r7,12,0.344245
r7,13,0.001056
r7,14,0.008448
r7,15,0.001056
r7,16,0.004224
r7,2,0.016895
r7,3,0.087645
r7,4,0.568110
r7,5,0.643083
r7,6,0.001056
r7,7,0.001056
r7,8,0.447730
r7,9,0.119324
r8,10,0.198522
r8,100,0.001056
r8,101,0.001056
r8,102,0.001056
r8,103,0.036959
